Pver_Sc0011795_size642	0	0	0	9.43726	0	0	0	0	0	0	0	1.29197	0	0	0	0	1.09234	0	0	0	0	3.62095	8.17213	0	1.40957	0	0	0	0	3.00464	5.66305	0
Pver_xfSc0001517_size4412	0	0	1.00466	0	0	0	0	0	1.00021	0	1.00025	0	0	4.11808	0	2.01174	0	0	1.00526	0	0	3.23671	0	0	0	0	2	0	0	0	1.7856	1.05141
Pver_Sc0002382_size6165	7.27083	20.5922	43.9824	13.0466	2.3501	12.8834	45.4441	11.0003	1.10822	10.6463	10.3236	8.13856	9.86236	1.01713	3.27396	7.47688	3.19004	25.5619	2.0435	2.02764	13.3588	10.3865	86.668	4.76649	10.7567	7.09416	12.746	9.34294	9.76326	27.441	4.13552	21.274
Pver_Sc0001116_size43831	4.20547	38.5108	244.583	54.4915	11.2104	5.09397	6.14323	54.1192	87.281	10.2031	21.3464	53.7777	24.6691	99.4667	33.1258	44.0891	5.10511	5.5599	16.5087	20.387	203.787	2.0956	23.6908	150.42	18.7158	10.1676	2.07629	7.06144	75.0057	5.05755	8.42184	33.8033
Pver_Sc0000336_size316127	3417.04	3759.4	3173.88	3610.68	2128.65	1435.77	2890.35	1950.89	2541.55	1845.38	3300.39	1440.79	2368.89	1192.71	2241.06	2378.4	3021.18	3177.11	1500.58	2497.38	2917.26	2151.81	6702.82	3334.62	1985.16	3397.1	1279.43	1102.88	2149.08	4587.18	1957.27	2190.91
Pver_Sc0001252_size32069	62.3941	89.1203	111.645	108.552	69.8666	90.8398	109.961	80.0024	87.9631	76.2929	101.405	69.285	52.2726	72.2306	81.7741	68.8794	86.1904	92.959	91.1763	93.5429	121.209	84.1325	146.283	65.7407	83.2554	144.79	63.2406	67.1857	111.758	89.8409	123.7	91.3872
Pver_Sc0000705_size125110	2215.65	3595.78	3882.92	3352.86	1979.41	2286.19	2790.44	2122.13	2810.32	2188.77	2343.11	2165.3	1377.23	2170.68	3362.19	2682.3	2561.72	2636.02	2328.26	2234.77	3477.02	2048.81	4643.26	1755.97	2224.45	3346.89	2229.78	1330.93	3939.19	3697.76	2874.97	2192.99
Pver_Sc0009767_size805	1.05954	4.55797	0	0	0	0	6.82326	0	0	1.2238	2.04984	0	0.691645	0	0	0	1.13097	0	0	1.02246	0	0	0	1.03313	0	0	0	0	2.8713	1.87756	0	0
Pver_Sc0001590_size16083	1.01468	1.22551	4.13302	0	0	10.5996	2.1586	0	0	0	11.0329	5.07837	1.00756	4.31492	2.00971	1.00441	2.05645	1.28808	2.03295	6.12163	2.05912	2.40805	3.0196	0	2.98527	1.00814	0	3.45115	2.32874	1.86208	7.4405	1.01957
Pver_Sc0006687_size1297	2	0	1	0	2.06294	4.12114	2.08412	0	0	1	0	0	0	1	3.05753	5	2	0	0	0	5.80514	1	8	0	0	0	0	0	3.91243	0	3.1139	0
Pver_Sc0001858_size10471	4.40626	13.4774	20.6443	24.2168	19.6917	1.2979	12.4068	12.1315	15.0183	12.5615	10.8347	18.4809	9.12738	15.625	15.0589	13.4436	15.4434	12.03	18.615	3.02183	17.6938	6.32769	13.4929	2.00145	5.4056	4.39591	1.00003	11.7785	10.0423	19.3801	33.6858	1.1145
Pver_Sc0000584_size170028	8795.34	9416.92	17946.5	13482.7	4745.45	6335.02	5979.74	3783.71	5537.28	4732.95	8003.53	4351.53	3985.45	5301.64	9166.91	5192.61	5791.94	6615.47	6875.81	8347.31	8094.51	4903.09	11764.5	10656.5	4894.33	9491.87	11807.4	5467.81	8631.91	7311.43	7482.57	5046.29
Pver_Sc0002036_size8558	38.572	7.70225	73.2608	156.687	19.0156	60.3685	178.36	152.444	41.6758	30.0198	17.2625	38.516	22.2445	63.482	20.7843	25.9689	45.882	97.1939	30.5086	170.726	7.14106	37.4948	30.3369	51.9121	49.8626	109.72	34.3161	9.28576	86.677	48.2437	39.1013	58.3525
Pver_Sc0008453_size965	0	1.60643	0	0	0	1.85153	1.03511	1.21723	0.664744	0.891756	0	0.112589	0	0.702436	1.03248	0	0	2.88388	0	0	0	0	1.79068	4.21186	0	0	0	0	2	0	7.54459	0
Pver_Sc0003091_size3974	0	3	1.01981	3.00389	0	2	2.01212	0	1.03175	4	0	0	1.0384	0	0	6	1.02264	1.0019	0	4	0	1	3.01777	1.00795	2	6.05434	3	1	0	1	0	0
Pver_Sc0011862_size638	0	0	0	0	0	3	0	0	3.45634e-05	0	0	0	0	0	5	2	0	0	2	1.39158	0	0	0	1	1	0	0	0	0	0	0	0
Pver_Sc0010981_size702	1	2	1	0	0	2	0	1	0	1	1.1186	0	0	0	0	1	3	2.77475	3.12427	1.08622	0	0	3	0	1.39572	6.40668	0	1	0	3.60865	2	1.04099
Pver_Sc0001484_size19770	38.4597	30.2169	12.7825	42.3045	251.65	350.451	27.9178	19.9205	3.85074	12.1241	6.50019	13.8043	14.5297	11.1803	16.5353	16.2442	8.09141	29.0308	10.5286	23.0926	33.6522	18.2927	29.3704	8.12353	29.0606	13.072	21.0032	9.03745	5.05253	21.1489	69.2708	33.0653
Pver_Sc0000726_size119406	1354.87	3465.67	7472	3941.45	2804.67	2251.31	2212.46	894.793	2222.08	1250.56	1691.28	2086.51	844.803	1363.45	1738.76	1730.08	1153.16	2543.88	2292.47	1330.57	941.786	1535.39	3010.69	1964.7	1719.28	2043.61	1835.89	1020.35	2159.27	2809.42	1708.15	2032.1
Pver_Sc0005879_size1539	0	3.61206	3.07678	1.0263	0	0	1	0	0	0	2	0	2	0	1.06159	1.01702	2.10231	0	0	8.4913	8.50976	0	5.19452	4.18832	4.3287	10.5631	1.04323	0	2.13337	3.14979	3.48881	1.03332
Pver_Sc0000181_size464410	12919	18515.3	24277.6	19145.4	11031.7	12391.4	15455.9	10810	14214.4	11301.3	11946.2	11484.4	9608.26	12813.3	23451.7	13267.9	14908.3	17227.8	15958.5	13927.7	17691.6	11733.2	25696.9	16565.8	13197.8	28478.5	20494.3	12225.9	28357.6	21238.7	20578.4	14837
Pver_Sc0003938_size2690	14.4891	4.01932	2.13112	7.29387	1.54129	4.09972	0	4.14434	1	0	3	1.33288	1.02049	1.0043	32.6484	3.84966	13.2274	0	6.02294	4.33137	10.5306	9.42051	3.23684	12.0931	0	0	1.04984	3.02465	15.8536	0	0	0
Pver_xfSc0000098_size25559	54043.7	27990	720.298	32015.5	451.933	27116.8	121657	478.693	23750.3	15110.8	627.467	12456.1	714.72	37422.8	720.462	42659.5	47431.5	32903.5	720.303	305.137	5914.88	40959.5	14883.3	93874.2	20552.8	32689.2	41563.6	337.04	818.828	1017.29	169582	9897.46
Pver_Sc0011937_size632	11	5.20241	7	11	7	7.95289	15.4018	6	13.4324	8	16	15	4.57722	9	11	1	5.22443	10	13	3	20.4392	6	8.77152	20.6257	8.40722	17	8	2	8	24.5131	12	5
Pver_Sc0005291_size1769	0	0	1.08771	0	0	0	1.03626	1.02046	0	4.76638	0	0	1	0	0	0	0	0	0	0	0	0	1.0119	0	0	2.0182	0	2.12621	1.03873	0	0	0
Pver_Sc0001031_size52859	425.104	518.028	817.983	798.162	145.041	407.254	861.821	260.547	301.225	311.245	509.642	467.247	70.4995	287.251	294.418	382.486	364.404	747.325	325.132	280.641	580.055	409.433	871.1	526.005	329.785	1941.12	678	179.163	1148.02	781.931	351.994	350.452
